tag	name	vr	vm	is_retired
(0014,4016)	Element Pitch A	DS	1	false
(0014,4017)	Measured Beam Dimension A	DS	1	false
(0014,4018)	Measured Beam Dimension B	DS	1	false
(0014,4019)	Location of Measured Beam Diameter	DS	1	false
(0014,401A)	Nominal Frequency	DS	1	false
(0014,401B)	Measured Center Frequency	DS	1	false
(0014,401C)	Measured Bandwidth	DS	1	false
(0014,401D)	Element Pitch B	DS	1	false
(0014,4020)	Pulser Settings Sequence	SQ	1	false
(0014,4022)	Pulse Width	DS	1	false
(0014,4024)	Excitation Frequency	DS	1	false
(0014,4026)	Modulation Type	CS	1	false
(0014,4028)	Damping	DS	1	false
(0014,4030)	Receiver Settings Sequence	SQ	1	false
(0014,4031)	Acquired Soundpath Length	DS	1	false
(0014,4032)	Acquisition Compression Type	CS	1	false
(0014,4033)	Acquisition Sample Size	IS	1	false
(0014,4034)	Rectifier Smoothing	DS	1	false
(0014,4035)	DAC Sequence	SQ	1	false
(0014,4036)	DAC Type	CS	1	false
(0014,4038)	DAC Gain Points	DS	1-n	false
(0014,403A)	DAC Time Points	DS	1-n	false
(0014,403C)	DAC Amplitude	DS	1-n	false
